file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total,SEQ share,XOR share,PAR share,LOOP share,AS-Resolved PAR-only
test_04_par_xor.csv,0.6,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,33.33,100.0,100.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,100.0
test_04_par_xor.csv,0.8,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,33.33,100.0,100.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,100.0
test_04_par_xor.csv,1.0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,33.33,100.0,100.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,100.0
test_05_xor_seq.csv,0.0,1.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
test_05_xor_seq.csv,0.2,1.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
test_05_xor_seq.csv,0.4,1.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
test_05_xor_seq.csv,0.6,1.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
test_05_xor_seq.csv,0.8,1.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
test_05_xor_seq.csv,1.0,1.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
test_06_xor_xor.csv,0.0,1.0,1.0,5.88,5.88,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0
test_06_xor_xor.csv,0.2,1.0,1.0,5.88,5.88,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0
test_06_xor_xor.csv,0.4,1.0,1.0,5.88,5.88,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0
test_06_xor_xor.csv,0.6,1.0,1.0,5.88,5.88,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0
test_06_xor_xor.csv,0.8,1.0,1.0,5.88,5.88,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0
test_06_xor_xor.csv,1.0,1.0,1.0,5.88,5.88,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,0.5,0.0,0.0,0.0
test_07_par_par.csv,0.0,1.0,1.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,20.0,100.0,100.0,0.5,0.0,0.5,0.0,100.0
