file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total
pdc2021_011001.xes,0.0,1.0,0.0707573398576512,0.00,100.00,0.00,100.00,85.09,100.00,98.98,4.47,61.79,100.00
pdc2021_011001.xes,0.2,0.9827980188003713,0.1653498732432499,0.00,0.00,0.00,0.00,94.79,98.08,99.64,5.79,41.00,100.00
pdc2021_011001.xes,0.4,0.946350978143758,0.4769789983844911,0.00,0.00,0.00,0.00,93.88,87.11,93.48,12.11,42.54,98.87
pdc2021_011001.xes,0.6,0.8920425726965447,0.5907007203667322,0.00,0.00,0.00,0.00,90.98,80.30,85.25,17.16,28.98,94.42
pdc2021_011001.xes,0.8,0.8210636176745117,0.3982436044291714,0.00,78.40,0.00,78.40,88.10,100.00,100.00,4.54,45.50,100.00
pdc2021_011001.xes,1.0,0.7763082800494724,0.05899632802937571,0.00,0.00,0.00,0.00,100.00,100.00,100.00,32.89,32.89,99.94
pdc2021_011011.xes,0.0,1.0,0.09208171947197086,0.00,76.80,0.00,76.80,90.85,100.00,97.95,4.29,51.88,100.00
pdc2021_011011.xes,0.2,0.9817348973224989,0.17291317953569607,0.00,0.00,0.00,0.00,94.96,96.31,97.41,5.40,32.61,99.76
pdc2021_011011.xes,0.4,0.9363423696169891,0.4581491712707182,0.00,0.00,0.00,0.00,96.44,91.67,94.61,10.03,38.68,99.14
pdc2021_011011.xes,0.6,0.9143600235535015,0.44841182913472066,0.00,0.00,0.00,0.00,95.48,90.49,93.11,9.47,26.31,98.67
pdc2021_011011.xes,0.8,0.7560918478990036,0.5488474204171241,0.00,0.00,0.00,0.00,94.44,88.03,93.43,9.64,30.29,99.19
pdc2021_011011.xes,1.0,0.8537743341877415,0.15557176728068578,0.00,0.00,0.00,0.00,100.00,100.00,100.00,32.45,32.45,100.00
pdc2021_011100.xes,0.0,1.0,0.11101140508307761,0.00,2.80,0.00,2.80,94.61,100.00,100.00,9.09,30.85,100.00
pdc2021_011100.xes,0.2,0.9685126229310125,0.20483328234934228,0.00,0.00,0.00,0.00,93.67,98.03,98.59,11.16,60.10,99.35
pdc2021_011100.xes,0.4,0.9243085024758301,0.5111930471424809,0.00,0.00,0.00,0.00,96.92,92.01,94.49,23.33,54.39,98.22
pdc2021_011100.xes,0.6,0.8517819825195596,0.8783165599268069,16.80,16.80,0.00,0.00,96.53,94.86,97.23,10.28,44.01,99.70
pdc2021_011100.xes,0.8,0.8736936079777072,0.8009295120061968,0.00,0.00,0.00,0.00,95.09,88.64,92.23,22.28,54.33,95.62
pdc2021_011100.xes,1.0,0.7879077152325076,0.20514243433222346,0.00,0.00,0.00,0.00,98.77,97.48,97.48,39.74,39.74,100.00
pdc2021_011101.xes,0.0,1.0,0.1236663634108014,0.00,30.00,0.00,30.00,94.96,100.00,99.75,7.29,23.98,100.00
pdc2021_011101.xes,0.2,0.9720688053680893,0.20419248300897996,0.00,28.80,0.00,28.80,81.79,100.00,100.00,7.29,49.47,100.00
pdc2021_011101.xes,0.4,0.9316633980350338,0.2715043205027494,0.00,0.00,0.00,0.00,96.92,98.91,98.64,8.70,58.12,100.00
pdc2021_011101.xes,0.6,0.9142679484746293,0.7233115468409586,0.00,0.00,0.00,0.00,98.21,90.07,92.19,13.82,21.53,98.60
pdc2021_011101.xes,0.8,0.8286824609623687,0.7147540983606557,0.00,0.00,0.00,0.00,93.49,81.52,89.75,11.34,44.75,96.48
pdc2021_011101.xes,1.0,0.8072036471134612,0.43218390804597706,0.00,0.00,0.00,0.00,96.93,93.25,93.25,35.02,35.02,100.00
pdc2021_011111.xes,0.0,1.0,0.1216529092007248,0.00,39.20,0.00,39.20,95.45,100.00,100.00,7.14,22.21,100.00
